"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2024","109.58","111.00","111.14","109.03","5.50M","-0.88%"
"11/21/2024","110.55","111.69","111.69","110.02","3.74M","-1.08%"
"11/20/2024","111.76","110.66","112.88","108.66","13.92M","1.07%"
"11/19/2024","110.58","111.88","111.88","110.35","2.45M","-0.48%"
"11/18/2024","111.11","112.50","112.78","110.70","3.37M","-1.20%"
"11/15/2024","112.46","110.81","113.88","110.70","11.73M","1.53%"
"11/14/2024","110.77","110.05","111.00","110.00","3.78M","1.10%"
"11/13/2024","109.57","111.88","111.88","109.01","4.95M","-0.83%"
"11/12/2024","110.49","110.07","111.94","109.75","4.97M","-0.13%"
"11/11/2024","110.63","113.50","113.70","109.70","9.39M","-2.49%"
"11/08/2024","113.45","111.51","114.00","110.70","15.63M","2.56%"
"11/07/2024","110.62","109.00","111.34","108.56","13.99M","1.96%"
"11/06/2024","108.49","109.00","110.40","107.90","10.01M","-0.07%"
"11/05/2024","108.57","107.60","110.48","107.56","19.20M","1.89%"
"11/04/2024","106.56","104.50","107.40","104.04","11.06M","2.61%"
"11/01/2024","103.85","104.79","104.90","103.03","6.08M","0.31%"
"10/31/2024","103.53","103.70","105.60","102.77","7.82M","0.23%"
"10/30/2024","103.29","106.25","107.38","102.25","13.69M","-1.73%"
"10/29/2024","105.11","103.45","105.70","102.05","6.98M","1.75%"
"10/28/2024","103.30","105.50","107.30","102.99","7.52M","-1.80%"
"10/25/2024","105.19","109.00","109.20","104.01","11.18M","-3.26%"
"10/24/2024","108.74","107.10","109.88","106.50","11.40M","1.63%"
